1682525635.016377 server started (2566): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1682525635.016443 on Darwin 22.4.0 Darwin Kernel Version 22.4.0: Mon Mar  6 20:59:28 PST 2023; root:xnu-8796.101.5~3/RELEASE_ARM64_T6000
1682525635.016465 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.3
1682525635.016551 input_key_build: 0x10e003 (PasteStart) is \033[200~
1682525635.016562 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1682525635.016592 input_key_build: 0x10e195 (F1) is \033OP
1682525635.016602 input_key_build: 0x10e196 (F2) is \033OQ
1682525635.016611 input_key_build: 0x10e197 (F3) is \033OR
1682525635.016619 input_key_build: 0x10e198 (F4) is \033OS
1682525635.016628 input_key_build: 0x10e199 (F5) is \033[15~
1682525635.016638 input_key_build: 0x10e19a (F6) is \033[17~
1682525635.016647 input_key_build: 0x10e19b (F7) is \033[18~
1682525635.016656 input_key_build: 0x10e19c (F8) is \033[19~
1682525635.016666 input_key_build: 0x10e19d (F9) is \033[20~
1682525635.016675 input_key_build: 0x10e19e (F10) is \033[21~
1682525635.016684 input_key_build: 0x10e19f (F11) is \033[23~
1682525635.016692 input_key_build: 0x10e1a0 (F12) is \033[24~
1682525635.016701 input_key_build: 0x10e1a1 (IC) is \033[2~
1682525635.016710 input_key_build: 0x10e1a2 (DC) is \033[3~
1682525635.016718 input_key_build: 0x10e1a3 (Home) is \033[1~
1682525635.016727 input_key_build: 0x10e1a4 (End) is \033[4~
1682525635.016736 input_key_build: 0x10e1a5 (NPage) is \033[6~
1682525635.016745 input_key_build: 0x10e1a6 (PPage) is \033[5~
1682525635.016754 input_key_build: 0x10e1a7 (BTab) is \033[Z
1682525635.016763 input_key_build: 0x10e1a8 (Up) is \033[A
1682525635.016771 input_key_build: 0x10e1a9 (Down) is \033[B
1682525635.016779 input_key_build: 0x10e1aa (Left) is \033[D
1682525635.016788 input_key_build: 0x10e1ab (Right) is \033[C
1682525635.016797 input_key_build: 0x10e1ac (KP/) is /
1682525635.016806 input_key_build: 0x10e1ad (KP*) is *
1682525635.016815 input_key_build: 0x10e1ae (KP-) is -
1682525635.016824 input_key_build: 0x10e1af (KP7) is 7
1682525635.016832 input_key_build: 0x10e1b0 (KP8) is 8
1682525635.016840 input_key_build: 0x10e1b1 (KP9) is 9
1682525635.016849 input_key_build: 0x10e1b2 (KP+) is +
1682525635.016857 input_key_build: 0x10e1b3 (KP4) is 4
1682525635.016866 input_key_build: 0x10e1b4 (KP5) is 5
1682525635.016875 input_key_build: 0x10e1b5 (KP6) is 6
1682525635.016883 input_key_build: 0x10e1b6 (KP1) is 1
1682525635.016892 input_key_build: 0x10e1b7 (KP2) is 2
1682525635.016901 input_key_build: 0x10e1b8 (KP3) is 3
1682525635.016910 input_key_build: 0x10e1b9 (KPEnter) is \n
1682525635.016918 input_key_build: 0x10e1ba (KP0) is 0
1682525635.016927 input_key_build: 0x10e1bb (KP.) is .
1682525635.016936 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1682525635.016945 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1682525635.016954 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1682525635.016963 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1682525635.016972 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
